icd9	description
3210	cryptococcal meningitis
3211	meningitis in other fungal diseases
3212	meningitis due to viruses not elsewhere classified
3213	meningitis due to trypanosomiasis
3214	meningitis in sarcoidosis
3218	meningitis due to other nonbacterial organisms classified elsewhere
3220	nonpyogenic meningitis
3221	eosinophilic meningitis
3222	chronic meningitis
3229	meningitis unspecified
32301	encephalitis and encephalomyelitis in viral diseases classified elsewhere
32302	myelitis in viral diseases classified elsewhere
3231	encephalitis myelitis and encephalomyelitis in rickettsial diseases classified elsewhere
3232	encephalitis myelitis and encephalomyelitis in protozoal diseases classified elsewhere
32341	other encephalitis and encephalomyelitis due to other infections classified elsewhere
32342	other myelitis due to other infections classified elsewhere
32351	encephalitis and encephalomyelitis following immunization procedures
32352	myelitis following immunization procedures
32361	infectious acute disseminated encephalomyelitis adem
32362	other postinfectious encephalitis and encephalomyelitis
32363	postinfectious myelitis
32371	toxic encephalitis and encephalomyelitis
32372	toxic myelitis
32381	other causes of encephalitis and encephalomyelitis
32382	other causes of myelitis
3239	unspecified causes of encephalitis myelitis and encephalomyelitis
3240	intracranial abscess
3241	intraspinal abscess
3249	intracranial and intraspinal abscess of unspecified site
325	phlebitis and thrombophlebitis of intracranial venous sinuses
326	late effects of intracranial abscess or pyogenic infection
32700	organic insomnia unspecified
32701	insomnia due to medical condition classified elsewhere
32702	insomnia due to mental disorder
32709	other organic insomnia
32710	organic hypersomnia unspecified
32711	idiopathic hypersomnia with long sleep time
32712	idiopathic hypersomnia without long sleep time
32713	recurrent hypersomnia
32714	hypersomnia due to medical condition classified elsewhere
32715	hypersomnia due to mental disorder
32719	other organic hypersomnia
32720	organic sleep apnea unspecified
32721	primary central sleep apnea
32722	high altitude periodic breathing
32723	obstructive sleep apnea adult pediatric
32724	idiopathic sleep related non obstructive alveolar hypoventilation
32725	congenital central alveolar hypoventilation syndrome
32726	sleep related hypoventilation hypoxemia in conditions classifiable elsewhere
32727	central sleep apnea in conditions classified elsewhere
32729	other organic sleep apnea
32730	circadian rhythm sleep disorder unspecified
32731	circadian rhythm sleep disorder delayed sleep phase type
32732	circadian rhythm sleep disorder advanced sleep phase type
32733	circadian rhythm sleep disorder irregular sleep wake type
32734	circadian rhythm sleep disorder free running type
32735	circadian rhythm sleep disorder jet lag type
32736	circadian rhythm sleep disorder shift work type
32737	circadian rhythm sleep disorder in conditions classified elsewhere
32739	other circadian rhythm sleep disorder
32740	organic parasomnia unspecified
32741	confusional arousals
32742	rem sleep behavior disorder
32743	recurrent isolated sleep paralysis
32744	parasomnia in conditions classified elsewhere
32749	other organic parasomnia
32751	periodic limb movement disorder
32752	sleep related leg cramps
32753	sleep related bruxism
32759	other organic sleep related movement disorders
3278	other organic sleep disorders
3300	leukodystrophy
3301	cerebral lipidoses
3302	cerebral degeneration in generalized lipidoses
3303	cerebral degeneration of childhood in other diseases classified elsewhere
3308	other specified cerebral degenerations in childhood
3309	unspecified cerebral degeneration in childhood
3310	alzheimers disease
33111	picks disease
33119	other frontotemporal dementia
3312	senile degeneration of brain
3313	communicating hydrocephalus
3314	obstructive hydrocephalus
3315	idiopathic normal pressure hydrocephalus inph
3316	corticobasal degeneration
3317	cerebral degeneration in diseases classified elsewhere
33181	reyes syndrome
33182	dementia with lewy bodies
33183	mild cognitive impairment so stated
33189	other cerebral degeneration
3319	cerebral degeneration unspecified
3320	paralysis agitans
3321	secondary parkinsonism
3330	other degenerative diseases of the basal ganglia
3331	essential and other specified forms of tremor
3332	myoclonus
3333	tics of organic origin
3334	huntingtons chorea
3335	other choreas
3336	genetic torsion dystonia
33371	athetoid cerebral palsy
33372	acute dystonia due to drugs
33379	other acquired torsion dystonia
33381	blepharospasm
33382	orofacial dyskinesia
33383	spasmodic torticollis
33384	organic writers cramp
33385	subacute dyskinesia due to drugs
33389	other fragments of torsion dystonia
33390	unspecified extrapyramidal disease and abnormal movement disorder
33391	stiff man syndrome
33392	neuroleptic malignant syndrome
33393	benign shuddering attacks
33394	restless legs syndrome rls
33399	other extrapyramidal diseases and abnormal movement disorders
3340	friedreichs ataxia
3341	hereditary spastic paraplegia
3342	primary cerebellar degeneration
3343	other cerebellar ataxia
3344	cerebellar ataxia in diseases classified elsewhere
3348	other spinocerebellar diseases
3349	spinocerebellar disease unspecified
3350	werdnig hoffmann disease
33510	spinal muscular atrophy unspecified
33511	kugelberg welander disease
33519	other spinal muscular atrophy
33520	amyotrophic lateral sclerosis
33521	progressive muscular atrophy
33522	progressive bulbar palsy
33523	pseudobulbar palsy
33524	primary lateral sclerosis
33529	other motor neuron disease
3358	other anterior horn cell diseases
3359	anterior horn cell disease unspecified
3360	syringomyelia and syringobulbia
3361	vascular myelopathies
3362	subacute combined degeneration of spinal cord in diseases classified elsewhere
3363	myelopathy in other diseases classified elsewhere
3368	other myelopathy
3369	unspecified disease of spinal cord
33700	idiopathic peripheral autonomic neuropathy unspecified
33701	carotid sinus syndrome
33709	other idiopathic peripheral autonomic neuropathy
3371	peripheral autonomic neuropathy in disorders classified elsewhere
33720	reflex sympathetic dystrophy unspecified
33721	reflex sympathetic dystrophy of the upper limb
33722	reflex sympathetic dystrophy of the lower limb
33729	reflex sympathetic dystrophy of other specified site
3373	autonomic dysreflexia
3379	unspecified disorder of autonomic nervous system
3380	central pain syndrome
33811	acute pain due to trauma
33812	acute post thoracotomy pain
33818	other acute postoperative pain
33819	other acute pain
33821	chronic pain due to trauma
33822	chronic post thoracotomy pain
33828	other chronic postoperative pain
33829	other chronic pain
3383	neoplasm related pain acute chronic
3384	chronic pain syndrome
33900	cluster headache syndrome unspecified
33901	episodic cluster headache
33902	chronic cluster headache
33903	episodic paroxysmal hemicrania
33904	chronic paroxysmal hemicrania
33905	short lasting unilateral neuralgiform headache with conjunctival injection and tearing
33909	other trigeminal autonomic cephalgias
33910	tension type headache unspecified
33911	episodic tension type headache
33912	chronic tension type headache
33920	post traumatic headache unspecified
33921	acute post traumatic headache
33922	chronic post traumatic headache
3393	drug induced headache not elsewhere classified
33941	hemicrania continua
33942	new daily persistent headache
33943	primary thunderclap headache
33944	other complicated headache syndrome
33981	hypnic headache
33982	headache associated with sexual activity
33983	primary cough headache
33984	primary exertional headache
33985	primary stabbing headache
33989	other headache syndromes
340	multiple sclerosis
3410	neuromyelitis optica
3411	schilders disease
34120	acute transverse myelitis nos
34121	acute transverse myelitis in conditions classified elsewhere
34122	idiopathic transverse myelitis
3418	other demyelinating diseases of central nervous system
3419	demyelinating disease of central nervous system unspecified
34200	flaccid hemiplegia and hemiparesis affecting unspecified side
34201	flaccid hemiplegia and hemiparesis affecting dominant side
34202	flaccid hemiplegia and hemiparesis affecting nondominant side
34210	spastic hemiplegia and hemiparesis affecting unspecified side
